nome,cor,tipo_parede,ambiente,acabamento,features,linha
Suvinil Toque de Seda,Branco Neve,Alvenaria,Interno,Acetinado,"Lavável, Sem odor, Alta cobertura, Fácil limpeza",Premium
Suvinil Fosco Completo,Cinza Urbano,Alvenaria,Interno/Externo,Fosco,"Anti-mofo, Alta cobertura, Resistente à umidade",Premium
Suvinil Clássica,Amarelo Canário,Alvenaria,Interno,Fosco,"Boa cobertura, Econômica, Rápida secagem",Standard
Suvinil Esmalte Sintético,Vermelho Ferrari,"Madeira, Ferro",Interno/Externo,Brilhante,"Alta durabilidade, Resistente ao calor, Impermeável",Premium
Suvinil Criativa,Verde Menta,Alvenaria,Interno,Fosco,"Sem cheiro, Fácil aplicação, Lavável",Standard
Suvinil Fachada Acrílica,Azul Sereno,Alvenaria,Externo,Fosco,"Resistente à chuva e sol, Anti-mofo, Lavável",Premium
Suvinil Neve de Lua,Grafite Metálico,"Alvenaria, Metal",Externo,Acetinado,"Impermeável, Sem odor, Fácil aplicação",Standard
Suvinil Mágico Natureza,Marrom Terra,"Alvenaria, Madeira",Interno,Brilhante,"Anti-mofo, Resistente a chuva e sol, Fácil limpeza",Premium
Suvinil Áureo de Verão,Laranja Tropical,Alvenaria,Externo,Acetinado,"Resistente a manchas, Resistente ao calor",Standard
Suvinil Vapor Total,Ouro Metálico,"Alvenaria, Concreto",Interno,Acetinado,"Sem cheiro, Antiaderente, Alta cobertura",Econômica
Suvinil Vibrante Fresco,Azul Cobalto,"Alvenaria, Gesso",Interno,Fosco,"Secagem rápida, Resistente à umidade, Fácil aplicação",Standard
Suvinil Sol de Planeta,Antracite Metálico,"Alvenaria, Metal",Externo,Fosco,"Impermeável, Fácil aplicação",Standard
Suvinil Faísca Perfeito,Azul Cobalto,"Concreto, Madeira",Interno,Brilhante,"Baixo odor, Secagem rápida, Baixo respingamento",Premium
Suvinil Aveludado Toque,Bege Suave,Concreto,Interno,Semibrilho,"Fácil limpeza, Econômica, Antibacteriana, Impermeável",Premium
Suvinil Metálico de Natureza,Verde Água,Gesso,Externo,Acetinado,"Lavável, Econômica, Secagem rápida, Antiaderente",Premium
Suvinil Nova Dimensão,Azul Céu,"Alvenaria, Concreto",Interno,Semibrilho,"Baixo odor, Fácil aplicação, Lavável",Standard
